GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Add2NumWeb,com.add2numweb.dto,CalculationResult,0,32,0,2,0,10,0,6,0,5
Add2NumWeb,com.add2numweb,Add2NumWebApplication,0,8,0,0,0,3,0,2,0,2
Add2NumWeb,com.add2numweb,Add2NumController,0,112,0,4,0,25,0,6,0,4
Add2NumWeb,com.add2numweb.exception,GlobalExceptionHandler,0,47,0,0,0,12,0,6,0,6
Add2NumWeb,com.add2numweb.exception,ProblemDetails,0,14,0,0,0,4,0,1,0,1
Add2NumWeb,com.add2numweb.exception,WorkOrderIdGenerationException,0,9,0,0,0,4,0,2,0,2
Add2NumWeb,com.add2numweb.config,SecurityConfig,0,88,0,0,0,18,0,7,0,7
Add2NumWeb,com.add2numweb.config,JacksonConfig,0,15,0,0,0,2,0,3,0,3
Add2NumWeb,com.add2numweb.service,BigNumberService,0,223,3,23,0,38,3,14,0,4
Add2NumWeb,com.add2numweb.workorder,CreateWorkOrderRequest,0,9,0,0,0,1,0,1,0,1
Add2NumWeb,com.add2numweb.workorder,WorkOrder,0,36,0,0,0,14,0,7,0,7
Add2NumWeb,com.add2numweb.workorder,Priority,0,21,0,0,0,4,0,1,0,1
Add2NumWeb,com.add2numweb.workorder,WorkOrderController,0,14,0,0,0,5,0,2,0,2
Add2NumWeb,com.add2numweb.workorder,WorkOrderService,0,160,0,26,0,44,0,19,0,6
Add2NumWeb,com.add2numweb.workorder,WorkOrderResponse,0,18,0,0,0,1,0,1,0,1
Add2NumWeb,com.add2numweb.workorder,WorkOrderStatus,0,9,0,0,0,2,0,1,0,1
